Product ID,Category,Product Description,Quantity Type,Case Size,Price,Quantity,Favourite
114883796,Other Grocery,Toblerone Milk 340g,CS,10,35.5,,
114784966,Other Grocery,Lynx Body Spray Sunset Fresh 150ml,CS,6,11.25,,
115144629,Other Grocery,Schweppes Mix Paloma Bliss 250ml,CS,12,18.6,,
112089062,Soft Drinks & Juice,Myprotein Oat Bakes Chocolate Chip 75g,CS,12,13.32,,
115154667,Soft Drinks & Juice,Four Loko Strawberry Lemonade 440ml,CS,12,26.52,,
110824810,Other Grocery,Flipz Salted Caramel Pretzels 90g,CS,6,6.06,,
115145200,Alcohol,Schweppes Mix Gin Twist 250ml,CS,12,18.6,,
114825035,Snacks & Crisps,Skips Prawn Cocktail Crisps 35g,CS,26,22.1,,
115194984,Other Grocery,Lugg Muse 4 Piece Suitcase Set - Black,CS,1,50,,
115055941,Soft Drinks & Juice,Myprotein Brownie White Chocolate Brownie 12x75g,CS,12,13.32,,
113311411,Other Grocery,Fulfil Choc Pnut Butter 40g,CS,15,17.5,,
114578572,Laundry & Fabric Care,Fairy Non Bio Laundry Liquid 1.550l,CS,4,25.28,,
114774531,Energy Drinks,Monster Rio Punch 4x500ml,CS,6,22.32,,
114894137,Other Grocery,M Free From Choc Chip Cookies 145g,CS,5,7.15,,
114793740,Other Grocery,Cadbury Dairy Milk Freddo Caramel Choc Bar 5pk,CS,30,30,,
114846733,Other Grocery,Duracell Optimum AA Batteries 8pk,CS,12,59.4,,
114883331,Other Grocery,Duracell Optimum AAA Batteries 8pk,CS,10,49.5,,
101714395,Alcohol,Absolut Vodka 1l (Abv 40%),CS,6,135,,
114899966,Other Grocery,Vithit Perform 500ml,CS,12,9.84,,
114934080,Soft Drinks & Juice,Tassimo Cadbury Hot Chocolate 10 Pods 241g,CS,5,20.15,,
115023544,Other Grocery,Altos Strawberry Margarita 75cl,CS,6,63.84,,
113435140,Other Grocery,Beavertown Gamma Ray 4x330ml,CS,6,29,,
112372896,Energy Drinks,Monster Ultra Fiesta Mango Zero Sugar 4x500ml,CS,6,20.1,,
115062341,Soft Drinks & Juice,Biscolata Chocolate Cups 100g £1.25 PMP,CS,24,18.24,,
114650992,Other Grocery,KitKat Salted Caramel 99g,CS,15,12.5,,
100854290,Other Grocery,Nivea Sun Lotion Factor 30 200ml,CS,6,23.75,,
114809924,Other Grocery,The Wanderer Chardonnay 75cl,CS,6,45.9,,
115075096,Other Grocery,Reeses Peanut Butter Bar 90g,CS,16,14.34,,
113959488,Other Grocery,Celebrations 300g,CS,9,28.56,,
114860501,Other Grocery,Kopparberg Apple Vintage 500ml,CS,8,11.68,,
115015747,Other Grocery,Estrella Damm 10x440ml,CS,1,10.25,,
114826812,Other Grocery,Cadbury Bournville Buttons 100g,CS,10,10.55,,
113704291,Other Grocery,Comfort Scent Booster Elixir First Blooms 460ml,CS,8,35.04,,
113223770,Other Grocery,Vimto Fruit Squash Orange & Pineapple 1l,CS,12,8.65,,
114477384,Other Grocery,Carlsberg Special Brew 500ml,CS,24,39.6,,
113706501,Other Grocery,Comfort Booster Heavenly Fresh,CS,8,35.04,,
109449151,Sugar & Baking,Volvic Touch of Fruit Sugar Free Watermelon 1.5l,CS,6,5,,
113837958,Other Grocery,Nescafe Gold Espresso 190g,CS,6,33,,
114754311,Alcohol,Squashies Drumstick Cherry Cola 140g,CS,12,9,,
104371244,Other Grocery,Volvic Touch of Fruit Summer Fruits 1.5l,CS,6,5,,
115001011,Soft Drinks & Juice,Lu Le Petit Chocolate Biscuits 100g,CS,20,36,,
113223745,Other Grocery,Vimto Fruit Squash Mango & Passionfruit 1l,CS,12,8.65,,
114010899,Other Grocery,Nutmeg Newborn Nappies Size 1,CS,6,10.86,,
113960331,Alcohol,Kronenbourg 1664 Blanc Premium Beer 4x330ml,CS,6,27.72,,
114038980,Other Grocery,Nutmeg Ultra Dry Size 6 Nappies 30pk,CS,4,16.52,,
114807662,Other Grocery,KitKat 2 Finger Orange 8x20.7g,CS,20,23.2,,
114807540,Other Grocery,KitKat 2 Finger Dark 8x20.7g,CS,20,23.2,,
112936962,Other Grocery,Kylie Minogue Alcohol Free Sparkling Rose 75cl,CS,6,21,,
110687114,Other Grocery,Squealing Pig Sauvignon Blanc 75cl,CS,6,40.14,,
115103069,Other Grocery,Harviestoun Bitter & Twisted Amber Ale 500ml,CS,8,12.16,,
113779524,Other Grocery,Kronenbourg 1664 660ml,CS,8,12.16,,
114736008,Other Grocery,San Miguel 620ml,CS,12,20.88,,
115076881,"Tea, Coffee & Sweeteners",KitKat 2 Finger Nescafe Mocha Coffee 9x20.7g,CS,20,23.2,,
114924113,Other Grocery,Maltesers White 30g,CS,25,18.5,,
115079353,Other Grocery,Maryland Cookies Minis Choc Chip 6pk 118.8g,CS,10,12.3,,
114857045,Other Grocery,M Best Rioja 75cl,CS,6,34.8,,
115031827,Alcohol,Wkd Blue 700ml (Abv 3.4%),CS,6,13.62,,
114827188,Snacks & Crisps,Reeses Dipped Peanuts Pouch 90g,CS,10,12.5,,
111936830,Other Grocery,Mr Sheen Multi Surface Polish Spring Fresh 250ml,CS,6,7.5,,
114431301,Other Grocery,Reeses Pretzels 113g,CS,24,47.52,,
113187300,Other Grocery,Auto Extras Fresh N Fruity Car Air Fresheners,CS,12,6,,
113187422,Other Grocery,Red Deer Toys Stretch It Lizard Toy( Clipstrip),CS,12,10.8,,
114719814,Soft Drinks & Juice,M Milk Chocolate Chunk Cookies 180g,CS,12,12.72,,
114223798,Other Grocery,151 Products Super Glue 5pk,CS,12,6.72,,
115022517,Other Grocery,Four Loko Dark Berry Burst 440ml,CS,12,26.52,,
113749501,Other Grocery,Exfoliating Mitts,CS,12,5.76,,
114464276,Other Grocery,151 Productsliquid Car Air Freshener,CS,12,6.96,,
114704049,Other Grocery,White Claw Variety Pack Version 2 (8X330Ml),CS,2,19.4,,
115143968,Snacks & Crisps,Reeses Dipped Peanuts 90g,CS,24,22.44,,
113188978,Cleaning Tools & Accessories,Lisseau Nail Brushes 2pk (Clipstrip),CS,12,5.52,,
114462781,Other Grocery,Real Pork Company Mr Pork Crunch 25g,CS,24,20.16,,
114848499,"Tea, Coffee & Sweeteners",Nescafe Mocha Double Choc Instant Coffee 7pk,CS,6,8.25,,
114878621,Other Grocery,Comfort Sunshiny Days Conditioner 31 Washes 930ml,CS,8,12.08,,
113187060,Cleaning Tools & Accessories,Buzz Dish Brush 1pk (Clipstrip),CS,12,8.4,,
115031886,Alcohol,Wkd Iron Brew 700ml (Abv 3.4%),CS,6,13.26,,
